X Z V VxVz
43 -7 1.412487886 1.067668836
43 -6 1.393043453 1.067776228
43 -5 1.378189769 1.06779613
43 -4 1.365778985 1.067798558
43 -3 1.356962552 1.067821859
43 -2 1.351714077 1.067893161
43 -1 1.346053638 1.068018761
43 0 1.340755372 1.068167874
44 -200 2.37 1.08
44 -199 2.37 1.08
44 -198 2.37 1.08
44 -197 2.37 1.08
44 -196 2.37 1.08
44 -195 2.37 1.08
44 -194 2.37 1.08
44 -193 2.37 1.08
44 -192 2.37 1.08
44 -191 2.37 1.08
44 -190 2.37 1.08
44 -189 2.37 1.08
44 -188 2.37 1.08
44 -187 2.37 1.08
44 -186 2.37 1.08
44 -185 2.37 1.08
44 -184 2.37 1.08
44 -183 2.37 1.08
44 -182 2.37 1.08
44 -181 2.37 1.08
44 -180 2.37 1.08
44 -179 2.37 1.08
44 -178 2.37 1.08
44 -177 2.37 1.08
44 -176 2.37 1.08
44 -175 2.37 1.08
44 -174 2.37 1.08
44 -173 2.37 1.080000003
44 -172 2.369999999 1.080000027
44 -171 2.369999996 1.080000173
44 -170 2.369999976 1.080000853
44 -169 2.369999879 1.080003433
44 -168 2.369999484 1.080011456
44 -167 2.369998096 1.080035025
44 -166 2.369993841 1.080095807
44 -165 2.369982369 1.080230921
44 -164 2.36995522 1.08048614
44 -163 2.369898967 1.080918075
44 -162 2.369797584 1.081586652
44 -161 2.369641482 1.082501711
44 -160 2.369444269 1.083643362
44 -159 2.369261739 1.084972288
44 -158 2.369198394 1.086400085
44 -157 2.369387179 1.087862799
44 -156 2.369948812 1.089326181
44 -155 2.370979148 1.090792347
44 -154 2.372639505 1.092292049
44 -153 2.375381329 1.093857534
44 -152 2.380227905 1.095515304
44 -151 2.389182375 1.097209418
44 -150 2.404576392 1.098841459
44 -149 2.428367674 1.100370243
44 -148 2.460045544 1.101852343
44 -147 2.494563425 1.103453921
44 -146 2.523351574 1.10533579
44 -145 2.540374489 1.10760721
44 -144 2.546471627 1.109974832
44 -143 2.546842647 1.112071809
44 -142 2.545093312 1.113804065
44 -141 2.539491497 1.114841158
44 -140 2.527016079 1.115596892
44 -139 2.509018181 1.116163473
44 -138 2.490976564 1.116102169
44 -137 2.476117812 1.115743541
44 -136 2.463162037 1.11526607
44 -135 2.448061505 1.114799492
44 -134 2.425566215 1.114446193
44 -133 2.406297981 1.114284326
44 -132 2.404638867 1.114435652
44 -131 2.435223144 1.115056638
44 -130 2.48276618 1.116320309
44 -129 2.522390592 1.118297109
44 -128 2.537918437 1.120980713
44 -127 2.527804329 1.12424278
44 -126 2.515399153 1.12798078
44 -125 2.525265695 1.131700835
44 -124 2.557422282 1.134731979
44 -123 2.58272579 1.136165589
44 -122 2.587392459 1.13582206
44 -121 2.558457617 1.134167656
44 -120 2.528352465 1.132332979
44 -119 2.519989803 1.131211378
44 -118 2.53 1.131325631
44 -117 2.56 1.132742427
44 -116 2.58 1.135273163
44 -115 2.59 1.138568858
44 -114 2.57 1.142229781
44 -113 2.54 1.145987886
44 -112 2.51 1.149716733
44 -111 2.48 1.153414164
44 -110 2.48 1.157071873
44 -109 2.52 1.1605647
44 -108 2.56 1.163595432
44 -107 2.54 1.166044806
44 -106 2.48 1.168216941
44 -105 2.41 1.170777884
44 -104 2.41 1.174032417
44 -103 2.46 1.177547906
44 -102 2.49 1.180562605
44 -101 2.46 1.182757175
44 -100 2.43 1.184424831
44 -99 2.42 1.185774061
44 -98 2.42 1.186503668
44 -97 2.36 1.186283912
44 -96 2.29 1.185567732
44 -95 2.27 1.185758969
44 -94 2.3 1.188302251
44 -93 2.37 1.193137479
44 -92 2.42 1.198864105
44 -91 2.42 1.203840684
44 -90 2.38 1.206985361
44 -89 2.34 1.208110921
44 -88 2.27 1.20767314
44 -87 2.2 1.206521768
44 -86 2.15 1.205789236
44 -85 2.13 1.20625656
44 -84 2.15 1.208014568
44 -83 2.19 1.210608306
44 -82 2.21 1.213393834
44 -81 2.2 1.215909149
44 -80 2.17 1.218076727
44 -79 2.15 1.219674981
44 -78 2.16 1.220202231
44 -77 2.13 1.218702341
44 -76 2.09 1.214448404
44 -75 2.08 1.207321281
44 -74 2.06 1.198011168
44 -73 2.01 1.187954505
44 -72 1.96 1.178906011
44 -71 1.94 1.172192091
44 -70 1.94 1.168111075
44 -69 1.95 1.166100699
44 -68 1.97 1.165336305
44 -67 1.99 1.165121734
44 -66 2.02 1.164948812
44 -65 2.04 1.164410148
44 -64 2.05 1.163396219
44 -63 2.03 1.162001841
44 -62 1.99 1.160435004
44 -61 1.97 1.158710157
44 -60 1.95 1.156820409
44 -59 1.95 1.154885104
44 -58 1.96 1.153332511
44 -57 1.97 1.152646531
44 -56 1.99 1.153083335
44 -55 2 1.154424545
44 -54 1.99 1.156107692
44 -53 1.97 1.157566806
44 -52 1.95 1.158609479
44 -51 1.95 1.15945789
44 -50 1.97 1.160428885
44 -49 2 1.161466981
44 -48 2.01 1.162119744
44 -47 1.99 1.161946514
44 -46 1.96 1.160900911
44 -45 1.95 1.15924116
44 -44 1.95 1.156997136
44 -43 1.95 1.154064819
44 -42 1.93 1.150387853
44 -41 1.91 1.146501201
44 -40 1.92 1.142929489
44 -39 1.95 1.140005399
44 -38 1.98 1.137443041
44 -37 1.99 1.135027278
44 -36 1.98 1.13259866
44 -35 1.98 1.130220381
44 -34 1.97 1.127698027
44 -33 1.96 1.124860012
44 -32 1.94 1.121543236
44 -31 1.94 1.117826574
44 -30 1.94 1.113656964
44 -29 1.92 1.10903677
44 -28 1.88 1.103895136
44 -27 1.83 1.098506589
44 -26 1.8 1.093128015
44 -25 1.78 1.088205283
44 -24 1.77 1.083938939
44 -23 1.78 1.080401056
44 -22 1.8 1.077564884
44 -21 1.8 1.075327346
44 -20 1.77 1.073503806
44 -19 1.71 1.071831851
44 -18 1.65 1.070215017
44 -17 1.599453792 1.068667842
44 -16 1.56 1.067311578
44 -15 1.537343101 1.066299146
44 -14 1.511440621 1.06574534
44 -13 1.494113259 1.065660929
44 -12 1.474517943 1.065902525
44 -11 1.463632503 1.066215961
44 -10 1.459353703 1.066683901
44 -9 1.44852368 1.067207293
44 -8 1.435919228 1.067642931
44 -7 1.415086817 1.067897077
44 -6 1.397423962 1.067969817
44 -5 1.380678621 1.067951166
44 -4 1.371013139 1.067937385
44 -3 1.363083927 1.067975986
44 -2 1.35615156 1.068076759
44 -1 1.349178321 1.068222529
44 0 1.343450556 1.068362311
45 -200 2.37 1.08
45 -199 2.37 1.08
45 -198 2.37 1.08
45 -197 2.37 1.08
45 -196 2.37 1.08
45 -195 2.37 1.08
45 -194 2.37 1.08
45 -193 2.37 1.08
45 -192 2.37 1.08
45 -191 2.37 1.08
45 -190 2.37 1.08
45 -189 2.37 1.08
45 -188 2.37 1.08
45 -187 2.37 1.08
45 -186 2.37 1.08
45 -185 2.37 1.08
45 -184 2.37 1.08
45 -183 2.37 1.08
45 -182 2.37 1.08
45 -181 2.37 1.08
45 -180 2.37 1.08
45 -179 2.37 1.08
45 -178 2.37 1.08
45 -177 2.37 1.08
45 -176 2.37 1.08
45 -175 2.37 1.08
45 -174 2.37 1.08
45 -173 2.37 1.080000004
45 -172 2.369999999 1.08000003
45 -171 2.369999995 1.080000183
45 -170 2.36999997 1.080000891
45 -169 2.369999853 1.080003584
45 -168 2.36999938 1.080012476
45 -167 2.369997629 1.080038379
45 -166 2.369992282 1.080099481
45 -165 2.369977982 1.080238437
45 -164 2.369944395 1.080500901
45 -163 2.369875211 1.080938542
45 -162 2.36975073 1.081600186
45 -161 2.369557677 1.082517021
45 -160 2.3693081 1.083657623
45 -159 2.369060791 1.084973861
45 -158 2.368930335 1.086394372
45 -157 2.369067565 1.087849376
45 -156 2.36961428 1.089305767
45 -155 2.370683426 1.090765856
45 -154 2.372456087 1.092256416
45 -153 2.375390452 1.093815905
45 -152 2.380554513 1.095476876
45 -151 2.389775439 1.097171514
45 -150 2.405411029 1.098808823
45 -149 2.429410379 1.100348365
45 -148 2.461335522 1.101848784
45 -147 2.496055175 1.103469464
45 -146 2.524661433 1.105358529
45 -145 2.54129387 1.10766692
