X  Z  V  Vxz
25  -195  2.4378515  1.048067685
26  -195  2.43803034  1.048067669
27  -195  2.438211352  1.048069255
28  -195  2.438393415  1.04806972
29  -195  2.43760594  1.048069761
30  -195  2.437328595  1.048069764
31  -195  2.43381289  1.048069766
32  -195  2.43381289  1.048069589
33  -195  2.43381289  1.04806975
34  -195  2.43381289  1.048069764
35  -195  2.43381289  1.048069765
36  -195  2.43381289  1.048069774
37  -195  2.43381289  1.048069729
38  -195  2.43381289  1.048069914
39  -195  2.43381289  1.048069934
40  -195  2.439000165  1.048069954
0  -194  2.43381289  1.048068338
1  -194  2.43381289  1.048067502
2  -194  2.43381289  1.048066628
3  -194  2.43381289  1.048066333
4  -194  2.43381289  1.048066336
5  -194  2.43381289  1.048066464
6  -194  2.435101355  1.048070837
7  -194  2.434743505  1.048070376
8  -194  2.43503114  1.04807077
9  -194  2.436495466  1.048070945
10  -194  2.436484051  1.048070757
11  -194  2.43520486  1.048070421
12  -194  2.436228007  1.048070048
13  -194  2.435952203  1.048069666
14  -194  2.436545547  1.048069826
15  -194  2.43669989  1.048070452
16  -194  2.436786091  1.048070626
17  -194  2.436899884  1.048070481
18  -194  2.437027603  1.048070208
19  -194  2.437163539  1.048069904
20  -194  2.436379525  1.048069587
21  -194  2.436491189  1.048069263
22  -194  2.436807321  1.04806911
23  -194  2.436965758  1.048069708
24  -194  2.437085328  1.048067399
25  -194  2.437221163  1.048067396
26  -194  2.437368346  1.048069849
27  -194  2.4375219  1.048070556
28  -194  2.437678341  1.048069718
29  -194  2.437835016  1.048069662
30  -194  2.436852452  1.0480696
31  -194  2.436857948  1.048069484
32  -194  2.437064258  1.048069459
33  -194  2.437220844  1.048069238
34  -194  2.43381289  1.048069617
35  -194  2.43381289  1.048069517
36  -194  2.43381289  1.048069262
37  -194  2.43381289  1.048069586
38  -194  2.43381289  1.048069598
39  -194  2.43381289  1.048069578
40  -194  2.435462393  1.048069554
0  -193  2.43381289  1.048067982
1  -193  2.43381289  1.048067824
2  -193  2.43381289  1.048066926
3  -193  2.43381289  1.04806677
4  -193  2.43381289  1.048066668
5  -193  2.435267303  1.048069582
6  -193  2.434816712  1.048068723
7  -193  2.434817854  1.048069857
8  -193  2.435175916  1.048070484
9  -193  2.436555  1.04807058
10  -193  2.436773781  1.048070395
11  -193  2.434654464  1.048070118
12  -193  2.434448053  1.048069824
13  -193  2.436127955  1.048069519
14  -193  2.435675113  1.04806959
15  -193  2.43626807  1.048070069
16  -193  2.436330015  1.048070243
17  -193  2.436375314  1.048070136
18  -193  2.43644902  1.048069916
19  -193  2.436539168  1.048069665
20  -193  2.436635077  1.048069401
21  -193  2.435952715  1.048069129
22  -193  2.43610732  1.048069009
23  -193  2.436441004  1.048069618
24  -193  2.436552323  1.048067139
25  -193  2.436631677  1.048071747
26  -193  2.436730176  1.048071251
27  -193  2.43684204  1.048070218
28  -193  2.436959429  1.048070889
29  -193  2.437072811  1.048069935
30  -193  2.437179289  1.048070291
31  -193  2.436269855  1.048070321
32  -193  2.436425763  1.048068909
33  -193  2.43666919  1.048068888
34  -193  2.436804918  1.048069147
35  -193  2.436914124  1.048069553
36  -193  2.43381289  1.048069714
37  -193  2.43381289  1.048069398
38  -193  2.43381289  1.048069468
39  -193  2.435521968  1.04806968
40  -193  2.435473458  1.048069332
0  -192  2.43381289  1.048069485
1  -192  2.43381289  1.048069032
2  -192  2.43381289  1.048068846
3  -192  2.43381289  1.048067298
4  -192  2.43381289  1.048069957
5  -192  2.435614278  1.048069125
6  -192  2.434959825  1.048069719
7  -192  2.436172253  1.048069543
8  -192  2.435404744  1.048070075
9  -192  2.436630723  1.048070194
10  -192  2.436913581  1.048070061
11  -192  2.434194552  1.048069837
12  -192  2.433252936  1.048069591
13  -192  2.430488142  1.048069334
14  -192  2.436241672  1.048069673
15  -192  2.434690726  1.048069587
16  -192  2.436156194  1.048069839
17  -192  2.436117265  1.048069825
18  -192  2.43614518  1.048069663
19  -192  2.436200441  1.048069446
20  -192  2.436259742  1.048069208
21  -192  2.436296171  1.048068973
22  -192  2.435628187  1.048068905
23  -192  2.435549616  1.0480693
24  -192  2.436150215  1.048072282
25  -192  2.436247828  1.048071794
26  -192  2.436293071  1.04807074
27  -192  2.436363317  1.048071681
28  -192  2.436440594  1.04806928
29  -192  2.436504102  1.0480697
30  -192  2.436563309  1.048069869
31  -192  2.436736873  1.04806996
32  -192  2.435910671  1.048069846
33  -192  2.435981816  1.048068584
34  -192  2.436299303  1.04806884
35  -192  2.43642893  1.048068965
36  -192  2.436695893  1.048068815
37  -192  2.43593717  1.048069225
38  -192  2.435798891  1.048069958
39  -192  2.435788534  1.048070149
40  -192  2.43576221  1.048069252
0  -191  2.43381289  1.048068248
1  -191  2.43381289  1.048068268
2  -191  2.43381289  1.048068212
3  -191  2.43381289  1.048066522
4  -191  2.43381289  1.048066732
5  -191  2.436140861  1.048067021
6  -191  2.435192398  1.048072284
7  -191  2.436366228  1.048069287
8  -191  2.435618451  1.048069537
9  -191  2.435327791  1.048069808
10  -191  2.436727606  1.048069769
11  -191  2.433825624  1.048069598
12  -191  2.433728902  1.04806938
13  -191  2.431376598  1.048069144
14  -191  2.434294406  1.048068915
15  -191  2.433587581  1.048068948
16  -191  2.43380356  1.048069231
17  -191  2.436446378  1.04806934
18  -191  2.435733968  1.048069278
